nickname,total,continuity,order
커피콩,31,31,1835.225806451613
단호박골드피자,31,31,1839.1290322580646
오리꽥꽥,31,31,1842.5483870967741
침착맨침착맨,31,31,1845.4193548387098
할아버지,31,31,1863.8387096774193
탈퇴한회원,31,31,1904.1612903225807
김애용,31,31,1921.1612903225807
킹받는선글라스,31,31,1969.1935483870968
qOOp,31,31,2105.548387096774
목동다이옥신,31,31,2209.0967741935483
완전즐겜유저,31,31,2224.1290322580644
침펄풍철단,31,31,3037.1612903225805
