nickname,total,continuity,order,wish
복재성,31,31,1029.3870967741937,올 한 해 고생 많았고 내년에도 힘내자
따착고,31,31,1035.3870967741937,제 짝을 찾게해주세요
무뚱뚱씨,31,31,1036.516129032258,23년은 더 행복하게
티모시샬라메정실부인,31,31,1046.225806451613,합격
옾마니반메훔,31,31,1049.967741935484,소원들어주세요
알아보자,31,31,1052.483870967742,🙏
먹방의황제는이병건이오,31,31,1053.9354838709678,로또1등아 와라~
전무님,31,31,1061.0967741935483,ㅁㅅㅁ
조깐둥이,31,31,1064.9354838709678,우리 강아지 안아프고 오래 살게 해주세요. 
쭈호민,31,31,1066.1612903225807,기도 올리기
민트초코호빵,31,31,1067.1935483870968,안녕2022
음흉맨,31,31,1069.645161290323,로또
고비노비도비,31,31,1071.1290322580646,돌
침멍이까와이,31,31,1072.0967741935483,합격기원
아파요,31,31,1073.225806451613,내 소원만 들어주세요
페퍼민트S2,31,31,1080.548387096774,나는 내가 되고 싶은 내가 된다
검정치마,31,31,1087.2903225806451,이 모든 게 다 내가 원했던 거라구요
순살인간,31,31,1087.9032258064517,회사에서 다들 날 좋게 봐주세요..
이병건강냉이사이에낀김가루,31,31,1091.3225806451612,22년 잘 마무리 하게 해주세요
김장하는이쑤시개,31,31,1104.645161290323,오늘도건강하게해주세요
허풍개,31,31,1107.1612903225807,즐거운 최후의 날
계말년,31,31,1111.1290322580646,복권!!
침착한주펄님,31,31,1116.9354838709678,건강한 몸과 마음 기르기
캄다운맨,31,31,1124.9032258064517,침착한 22년 마지막일
IZONE,31,31,1130.1612903225807,취업기원
요우무의유령검1,31,31,1132.2903225806451,*꽃무늬 이펙트*
채유리,31,31,1134.483870967742,돼지양
낼르미,31,31,1135.4193548387098,오늘도 무사히요~!
ㅁㄴㅇㄹ,31,31,1138.0645161290322,스트레스 받지 않게 해주세요
토착애국맨,31,31,1139.3870967741937,장사 잘되게 해주세요
이말년침착맨이병건,31,31,1140.6129032258063,소원을 말해봐
